,param,value,evaluation
21,115,0.8528137551258039,train f1
22,120,0.8536908191167151,train f1
23,125,0.855897676702802,train f1
24,130,0.8571511125153157,train f1
25,135,0.8580346478499962,train f1
26,140,0.8593542236824189,train f1
27,145,0.860247504133119,train f1
28,150,0.8602466111060619,train f1
29,155,0.8607699296130057,train f1
30,160,0.8607699296130057,train f1
31,165,0.8607699296130057,train f1
32,170,0.8606973797967726,train f1
33,175,0.8589104553719705,train f1
34,180,0.8586126956855927,train f1
35,185,0.8573600021478328,train f1
36,190,0.8569936391179399,train f1
37,195,0.8568960278507207,train f1
38,200,0.8571937875370984,train f1
39,205,0.8571937875370984,train f1
40,210,0.8571937875370984,train f1
41,215,0.8571937875370984,train f1
42,220,0.8568960278507207,train f1
43,225,0.8563764279746664,train f1
44,230,0.856081803954918,train f1
45,235,0.8551967855770578,train f1
46,240,0.855049813237001,train f1
47,245,0.8534430333404289,train f1
48,250,0.853515546075233,train f1
49,255,0.853515546075233,train f1
50,260,0.8525745496005849,train f1
51,265,0.8525745496005849,train f1
52,270,0.8525745496005849,train f1
53,275,0.8522595046753336,train f1
54,280,0.8522595046753336,train f1
55,285,0.8527648583319478,train f1
56,290,0.8526925544805425,train f1
57,295,0.8526925544805425,train f1
58,300,0.8520434756312848,train f1
0,10,0.9563629373317953,train recall
1,15,0.9588619761630142,train recall
2,20,0.9588619761630142,train recall
3,25,0.9611687812379853,train recall
