,param,value,evaluation
35,185,0.8104575163398694,valid recall
36,190,0.8104575163398694,valid recall
37,195,0.8104575163398694,valid recall
38,200,0.8104575163398694,valid recall
39,205,0.8108419838523645,valid recall
40,210,0.8108419838523645,valid recall
41,215,0.8108419838523645,valid recall
42,220,0.8108419838523645,valid recall
43,225,0.8108419838523645,valid recall
44,230,0.8108419838523645,valid recall
45,235,0.8108419838523645,valid recall
46,240,0.8108419838523645,valid recall
47,245,0.8108419838523645,valid recall
48,250,0.8108419838523645,valid recall
49,255,0.8108419838523645,valid recall
50,260,0.8108419838523645,valid recall
51,265,0.8108419838523645,valid recall
52,270,0.8108419838523645,valid recall
53,275,0.8108419838523645,valid recall
54,280,0.8108419838523645,valid recall
55,285,0.8108419838523645,valid recall
56,290,0.8108419838523645,valid recall
57,295,0.8108419838523645,valid recall
58,300,0.8108419838523645,valid recall
0,10,0.7140211034917353,train f1
1,15,0.7180291522956862,train f1
2,20,0.7226694112945529,train f1
3,25,0.725905029632265,train f1
4,30,0.7260868635387837,train f1
5,35,0.7325305655029989,train f1
6,40,0.7325917334168398,train f1
7,45,0.7333184776028863,train f1
8,50,0.7333184776028863,train f1
9,55,0.7336861353143244,train f1
10,60,0.7336861353143244,train f1
11,65,0.7340511632801766,train f1
12,70,0.7340511632801766,train f1
13,75,0.7340511632801766,train f1
14,80,0.7404061067117861,train f1
15,85,0.7401474365034962,train f1
16,90,0.7401474365034962,train f1
17,95,0.7401474365034962,train f1
18,100,0.7414462332335411,train f1
19,105,0.7414462332335411,train f1
20,110,0.7415144326891273,train f1
21,115,0.7415144326891273,train f1
22,120,0.7415144326891273,train f1
23,125,0.7415144326891273,train f1
24,130,0.7466504630812602,train f1
25,135,0.7471512368769707,train f1
26,140,0.7471512368769707,train f1
27,145,0.7471512368769707,train f1
28,150,0.7473969630089125,train f1
29,155,0.7473969630089125,train f1
30,160,0.7473969630089125,train f1
31,165,0.7473969630089125,train f1
32,170,0.7478547777276233,train f1
33,175,0.7478547777276233,train f1
34,180,0.7478547777276233,train f1
35,185,0.7478547777276233,train f1
36,190,0.7519372140609036,train f1
37,195,0.7519372140609036,train f1
38,200,0.7501960097101518,train f1
39,205,0.7507164881772849,train f1
40,210,0.7507164881772849,train f1
41,215,0.7507164881772849,train f1
42,220,0.7507164881772849,train f1
43,225,0.7507164881772849,train f1
44,230,0.7507164881772849,train f1
45,235,0.7507164881772849,train f1
46,240,0.7507164881772849,train f1
47,245,0.7507164881772849,train f1
48,250,0.7507164881772849,train f1
49,255,0.7507164881772849,train f1
50,260,0.7507164881772849,train f1
51,265,0.7507164881772849,train f1
52,270,0.7507164881772849,train f1
53,275,0.7507164881772849,train f1
54,280,0.7507164881772849,train f1
55,285,0.7507164881772849,train f1
56,290,0.7507164881772849,train f1
57,295,0.7508499533969166,train f1
58,300,0.7508499533969166,train f1
0,10,0.8166089965397925,train recall
1,15,0.8166089965397925,train recall
2,20,0.8166089965397925,train recall
3,25,0.8166089965397925,train recall
4,30,0.8166089965397925,train recall
5,35,0.8166089965397925,train recall
6,40,0.8166089965397925,train recall
7,45,0.8166089965397925,train recall
8,50,0.8166089965397925,train recall
9,55,0.8166089965397925,train recall
10,60,0.8166089965397925,train recall
11,65,0.8166089965397925,train recall
12,70,0.8166089965397925,train recall
13,75,0.8166089965397925,train recall
14,80,0.8143021914648213,train recall
15,85,0.8143021914648213,train recall
16,90,0.8143021914648213,train recall
17,95,0.8143021914648213,train recall
18,100,0.8143021914648213,train recall
19,105,0.8143021914648213,train recall
20,110,0.8143021914648213,train recall
21,115,0.8143021914648213,train recall
22,120,0.8143021914648213,train recall
23,125,0.8143021914648213,train recall
24,130,0.8129565551710881,train recall
25,135,0.8129565551710881,train recall
