target,site,host_is_ip,url_len,url_path_len,url_path_str,url_query_cnt,url_query_str
0,163open,0,43,1,1,3,41
0,163open,0,43,1,1,3,41
0,163open,0,43,1,1,3,41
0,163open,0,43,1,1,3,41
0,163open,0,43,1,1,3,41
0,163open,0,24,5,24,0,0
0,163open,0,43,1,1,3,41
0,163open,0,341,3,341,0,0
0,163open,0,15,3,15,0,0
0,163open,0,43,1,1,3,41
0,163open,0,8,3,8,0,0
0,163open,0,43,1,1,3,41
0,163open,0,43,1,1,3,41
0,163open,0,43,1,1,3,41
0,163open,0,43,1,1,3,41
0,163open,0,43,1,1,3,41
0,163open,0,24,5,24,0,0
0,163open,0,43,1,1,3,41
0,163open,0,43,1,1,3,41
0,163open,0,43,1,1,3,41
0,163open,0,43,1,1,3,41
0,163open,0,43,1,1,3,41
0,163open,0,43,1,1,3,41
